FIELD,TYPE,IS_PRICE_DATA,DAY_TRADING_SESSION,DAY_SESSION_START,BLOOMBERG,FLAT_FILE
PX_LAST,java.lang.Double,TRUE,,,PX_LAST,PX_LAST
OPEN,java.lang.Double,TRUE,,,OPEN,OPEN
VWAP,java.lang.Double,TRUE,,,EQY_WEIGHTED_AVG_PX,VWAP
EQY_WEIGHTED_AVG_PX,java.lang.Double,TRUE,,,EQY_WEIGHTED_AVG_PX,EQY_WEIGHTED_AVG_PX
VOLUME,java.lang.Long,FALSE,,,VOLUME,VOLUME
NEWS_SENTIMENT_DAILY_AVG,java.lang.Double,FALSE,,,NEWS_SENTIMENT_DAILY_AVG,NEWS_SENTIMENT_DAILY_AVG
NEWS_SENTIMENT_DAILY_MIN,java.lang.Double,FALSE,,,NEWS_SENTIMENT_DAILY_MIN,NEWS_SENTIMENT_DAILY_MIN
NEWS_SENTIMENT_DAILY_MAX,java.lang.Double,FALSE,,,NEWS_SENTIMENT_DAILY_MAX,NEWS_SENTIMENT_DAILY_MAX
BEST_EPS_MEDIAN_1BF,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_1BF
BEST_EPS_MEDIAN_2BF,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_2BF
BEST_EPS_MEDIAN_3BF,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_3BF
BEST_EPS_MEDIAN_4BF,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_4BF
BEST_EPS_MEDIAN_1GY,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_1GY
BEST_EPS_MEDIAN_2GY,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_2GY
BEST_EPS_MEDIAN_3GY,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_3GY
BEST_EPS_MEDIAN_4GY,java.lang.Double,FALSE,,,BEST_EPS_MEDIAN,BEST_EPS_MEDIAN_4GY
BETA_ADJ_1M,java.lang.Double,FALSE,,,BETA_ADJ_OVERRIDABLE,BETA_ADJ_1M
BETA_ADJ_3M,java.lang.Double,FALSE,,,BETA_ADJ_OVERRIDABLE,BETA_ADJ_3M
BETA_ADJ_6M,java.lang.Double,FALSE,,,BETA_ADJ_OVERRIDABLE,BETA_ADJ_6M
ALPHA_ADJ_1M,java.lang.Double,FALSE,,,ALPHA_OVERRIDABLE,ALPHA_ADJ_1M
ALPHA_ADJ_3M,java.lang.Double,FALSE,,,ALPHA_OVERRIDABLE,ALPHA_ADJ_3M
ALPHA_ADJ_6M,java.lang.Double,FALSE,,,ALPHA_OVERRIDABLE,ALPHA_ADJ_6M
BEST_TARGET_PRICE_MEDIAN,java.lang.Double,FALSE,,,BEST_TARGET_PRICE,BEST_TARGET_PRICE_MEDIAN
BEST_TARGET_PRICE_MEAN,java.lang.Double,FALSE,,,BEST_TARGET_PRICE,BEST_TARGET_PRICE_MEAN
VOLATILITY_30D,java.lang.Double,FALSE,,,VOLATILITY_30D,VOLATILITY_30D
VOLATILITY_60D,java.lang.Double,FALSE,,,VOLATILITY_60D,VOLATILITY_60D
VOLATILITY_90D,java.lang.Double,FALSE,,,VOLATILITY_90D,VOLATILITY_90D
VOLATILITY_180D,java.lang.Double,FALSE,,,VOLATILITY_180D,VOLATILITY_180D
HIST_CALL_IMP_VOL,java.lang.Double,FALSE,,,HIST_CALL_IMP_VOL,HIST_CALL_IMP_VOL
HIST_PUT_IMP_VOL,java.lang.Double,FALSE,,,HIST_PUT_IMP_VOL,HIST_PUT_IMP_VOL
IVOL_MONEYNESS,java.lang.Double,FALSE,,,IVOL_MONEYNESS,IVOL_MONEYNESS
CALL_IMP_VOL_30D,java.lang.Double,FALSE,,,CALL_IMP_VOL_30D,CALL_IMP_VOL_30D
PUT_IMP_VOL_30D,java.lang.Double,FALSE,,,PUT_IMP_VOL_30D,PUT_IMP_VOL_30D
CALL_IMP_VOL_60D,java.lang.Double,FALSE,,,CALL_IMP_VOL_60D,CALL_IMP_VOL_60D
PUT_IMP_VOL_60D,java.lang.Double,FALSE,,,PUT_IMP_VOL_60D,PUT_IMP_VOL_60D
CALL_IMP_VOL_90D,java.lang.Double,FALSE,,,CALL_IMP_VOL_90D,CALL_IMP_VOL_90D
PUT_IMP_VOL_90D,java.lang.Double,FALSE,,,PUT_IMP_VOL_90D,PUT_IMP_VOL_90D
EQY_REC_CONS,java.lang.Double,FALSE,,,EQY_REC_CONS,EQY_REC_CONS
TOT_ANALYST_REC,java.lang.Integer,FALSE,,,TOT_ANALYST_REC,TOT_ANALYST_REC
TOT_BUY_REC,java.lang.Integer,FALSE,,,TOT_BUY_REC,TOT_BUY_REC
TOT_SELL_REC,java.lang.Integer,FALSE,,,TOT_SELL_REC,TOT_SELL_REC
TOT_HOLD_REC,java.lang.Integer,FALSE,,,TOT_HOLD_REC,TOT_HOLD_REC
30DAY_IMPVOL_90.0%MNY_DF,java.lang.Double,FALSE,,,30DAY_IMPVOL_90.0%MNY_DF,30DAY_IMPVOL_90.0%MNY_DF
30DAY_IMPVOL_100.0%MNY_DF,java.lang.Double,FALSE,,,30DAY_IMPVOL_100.0%MNY_DF,30DAY_IMPVOL_100.0%MNY_DF
30DAY_IMPVOL_110.0%MNY_DF,java.lang.Double,FALSE,,,30DAY_IMPVOL_110.0%MNY_DF,30DAY_IMPVOL_110.0%MNY_DF
60DAY_IMPVOL_90.0%MNY_DF,java.lang.Double,FALSE,,,60DAY_IMPVOL_90.0%MNY_DF,60DAY_IMPVOL_90.0%MNY_DF
60DAY_IMPVOL_100.0%MNY_DF,java.lang.Double,FALSE,,,60DAY_IMPVOL_100.0%MNY_DF,60DAY_IMPVOL_100.0%MNY_DF
60DAY_IMPVOL_110.0%MNY_DF,java.lang.Double,FALSE,,,60DAY_IMPVOL_110.0%MNY_DF,60DAY_IMPVOL_110.0%MNY_DF
FNCL_LVRG,java.lang.Double,FALSE,,,FNCL_LVRG,FNCL_LVRG
DEGREE_FINANCIAL_LEVERAGE,java.lang.Double,FALSE,,,DEGREE_FINANCIAL_LEVERAGE,DEGREE_FINANCIAL_LEVERAGE
FREE_CASH_FLOW_YIELD,java.lang.Double,FALSE,,,FREE_CASH_FLOW_YIELD,FREE_CASH_FLOW_YIELD
INTEREST_COVERAGE_RATIO,java.lang.Double,FALSE,,,INTEREST_COVERAGE_RATIO,INTEREST_COVERAGE_RATIO
EQY_SH_OUT,java.lang.Double,FALSE,,,EQY_SH_OUT,EQY_SH_OUT
PCT_INSIDER_SHARES_OUT,java.lang.Double,FALSE,,,PCT_INSIDER_SHARES_OUT,PCT_INSIDER_SHARES_OUT
PUT_CALL_VOLUME_RATIO_CUR_DAY,java.lang.Double,FALSE,,,PUT_CALL_VOLUME_RATIO_CUR_DAY,PUT_CALL_VOLUME_RATIO_CUR_DAY
INDUSTRY_SECTOR,java.lang.String,FALSE,,,INDUSTRY_SECTOR,INDUSTRY_SECTOR
INDUSTRY_GROUP,java.lang.String,FALSE,,,INDUSTRY_GROUP,INDUSTRY_GROUP
EXCH_CODE,java.lang.String,FALSE,,,EXCH_CODE,EXCH_CODE
ID_MIC_PRIM_EXCH,java.lang.String,FALSE,,,ID_MIC_PRIM_EXCH,ID_MIC_PRIM_EXCH
CRNCY,java.lang.String,FALSE,,,CRNCY,CRNCY
LATEST_ANNOUNCEMENT_DT,java.sql.Date,FALSE,,,LATEST_ANNOUNCEMENT_DT,LATEST_ANNOUNCEMENT_DT
